"id";"atomid";"McId";"DatetimeCreatedShifted";"GoogleClientId";"EntityCreatedWith";"ch_isFirst4ContactAttribution";"ch_isFirst";"cohortdate"
"3772814A-D71B-B95F-E3B1-C1AE56B64623";-20;"3D4EED33-F96E-4E4A-946B-0B0CED7D333D";"2024-06-17 05:57:04.15";;HubspotContact;1;1;"2024-06-17"
"0BF5D58D-0BBA-7F68-D38E-2EFC3429E69E";-20;"67814151-545A-4B2E-BC77-13259C4A164B";"2024-06-20 15:03:29.0";;ShopifyCustomer;0;0;"2024-06-18"
DBD96F41-3FC3-38F0-7B22-8CB82374BE6E;-20;"6379ED1F-DBC5-4CA2-BE54-39666E062657";"2024-06-12 09:51:44.0";;ShopifyCustomer;0;0;"2024-06-11"
C1C2D8CF-29FA-BC25-AD3B-7C658E3AF21B;-20;"1BE817C1-47BB-4513-8952-38FD976D5057";"2024-06-20 08:09:56.143";;HubspotContact;1;1;"2024-06-20"
"8025F46C-1233-3DBF-12D5-7F92CBA6E859";101;"541348EB-E838-4B51-B2B8-069C32336BE1";"2024-06-24 14:03:44.0";;ShopifyCustomer;0;0;"2024-06-23"
"6D6158E6-5EB3-6273-6EB2-A2CDF378C44D";-20;B53539E7-CCDE-4658-9E6B-330418A8D122;"2024-06-23 21:30:07.0";;ShopifyCustomer;1;1;"2024-06-23"
A35B1F92-E008-24DF-2A9E-9905F10768D1;101;B7E5C710-E765-479C-A9CE-1B0ABB3EFB4C;"2024-06-30 10:21:15.607";;HubspotContact;1;1;"2024-06-30"
A734FF92-AC93-4201-A572-AE7B8D9FF96E;141;"04358EF3-8A90-4607-A0B4-173B356F4AFF";"2024-06-27 17:51:42.0";;ShopifyCustomer;0;0;"2024-06-27"
A798D510-B86C-4ACB-E231-2D4B8421163F;-20;E4A1B5CD-0E09-4A4E-8129-2942286DB4FA;"2024-06-13 06:22:02.0";;ShopifyCustomer;1;1;"2024-06-13"
"8EE4A9AA-FD09-1B76-1246-8039BB3AE0F0";-20;FF6E25CC-2106-40AA-9368-29FF59F2ADBE;"2024-06-13 14:21:08.403";;HubspotContact;1;1;"2024-06-13"
